id,observed_on,image_url,latitude,longitude,color_max_x,color_min_x,color_max_y,color_min_y,red,green,blue,ID,population_density,temp_jan20,temp_feb20,temp_jan21,temp_feb21,avg_winter_low_temp,sq_mpr_col
4261491,2019-01-19,https://inaturalist-open-data.s3.amazonaws.com/photos/5100635/medium.jpeg,43.731548,-79.762418,115,112,186,184,0.726797385620915,0.7248366013071895,0.7042483660130718,1,3368.10009765625,-5,-8,-6,-8,-6.75,gray
12294619,2019-03-29,https://static.inaturalist.org/photos/17686928/medium.jpg,40.8714705008,-73.921780279,117,109,119,113,0.43560535325241206,0.46075319016495486,0.42913165266106446,2,21213.19921875,-1,-0,-2,-0,-0.75,gray
19352271,2019-01-01,https://static.inaturalist.org/photos/29758411/medium.jpg,40.93325,-75.27613,178,141,183,153,0.39101168480974735,0.3394886647358434,0.2922833649588868,3,99,-5,-5,-6,-5,-5.25,NA
19352915,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29759307/medium.jpeg,38.9335656989,-79.9652937037,320,307,119,109,0.6998472116119175,0.6974789915966386,0.7058314234784823,4,165.39999389648438,-3,-4,-5,-4,-4,NA
19357024,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29765821/medium.jpeg,42.971658644,-81.2887046582,126,106,167,153,0.1315655150949269,0.13330843448490506,0.12741985683162155,5,1092.0999755859375,-4,-6,-5,-6,-5.25,melanic
19359919,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29771457/medium.jpg,38.4665666667,-78.0191945,91,79,227,218,0.16301659125188536,0.15984917043740574,0.14096530920060332,6,345.5,-1,-1,-3,-1,-1.5,gray
19361826,2019-01-01,https://static.inaturalist.org/photos/29774984/medium.jpg,42.574829892,-86.2308435108,219,198,100,84,0.091076858550907,0.04518192303659432,0.03690888119953864,7,77.80000305175781,-2,-5,-4,-5,-4,NA
19361868,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29775049/medium.jpeg,40.7047550794,-79.5571341933,297,279,190,169,0.6857960409044,0.6438784126090628,0.6888451074209588,8,86.19999694824219,-3,-4,-4,-4,-3.75,gray
19363000,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29776852/medium.jpg,38.8392216667,-77.2121716667,177,171,117,112,0.665172735760971,0.6366013071895424,0.6048552754435107,9,1777.199951171875,-0,1,-1,1,0.25,melanic
19363210,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29777197/medium.jpg,32.1946883333,-94.76529,146,107,208,178,0.156505376344086,0.15672675521821633,0.15616698292220113,10,28.799999237060547,5,4,3,4,4,gray
19363568,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29777843/medium.jpg,45.4290473682,-122.5216483708,119,87,110,85,0.4798528269116504,0.44080625257095846,0.3253165135518077,11,1320.300048828125,5,2,3,2,3,gray
19363825,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29774540/medium.jpeg,42.3862223902,-87.8298568726,219,216,141,139,0.4454248366013072,0.4343137254901961,0.43137254901960786,12,476.70001220703125,-5,-6,-6,-6,-5.75,NA
19363998,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29778454/medium.jpeg,39.144555,-84.5086533333,287,282,142,136,0.4936507936507937,0.47908496732026146,0.4645191409897293,13,1848.300048828125,-1,-3,-3,-3,-2.5,gray
19367614,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29784675/medium.jpg,40.6820116667,-73.4600216667,78,75,218,217,0.6230392156862745,0.6642156862745098,0.7029411764705882,14,1286.0999755859375,-1,-0,-2,-0,-0.75,NA
19368279,2019-01-01,https://static.inaturalist.org/photos/29785891/medium.jpeg,47.5502520635,-122.1232264861,217,206,183,171,0.4980643539467069,0.5571644042232278,0.6252388134741076,15,1952.4000244140625,4,1,3,1,2.25,gray
19369284,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29785203/medium.jpeg,31.2982745169,-85.376669436,173,144,126,106,0.6057889822595705,0.5773731714908186,0.5323685029567382,16,24.600000381469727,7,7,5,7,6.5,gray
19374511,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29796514/medium.jpeg,43.3025183333,-79.8439233333,159,130,156,131,0.08391151332327802,0.08391151332327802,0.08391151332327802,17,1594.0999755859375,-3,-5,-5,-5,-4.5,melanic
19374606,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29796675/medium.jpeg,43.3151236,-79.8494562,228,201,153,123,0.20946055841691516,0.20487937110328003,0.2624152886961236,18,2109.89990234375,-3,-5,-5,-5,-4.5,melanic
19375862,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29798687/medium.jpg,29.7716161513,-95.5696825794,203,170,161,132,0.7652941176470588,0.76760092272203,0.7481930026912725,19,1650,10,8,7,8,8.25,gray
19376667,2019-01-02,https://static.inaturalist.org/photos/29806641/medium.jpeg,28.08360834,-81.30286164,28,20,203,199,0.5675816993464052,0.5623529411764706,0.31302832244008716,20,1.5,12,13,10,13,12,gray
19377479,2019-01-02,https://static.inaturalist.org/photos/29801205/medium.jpeg,43.51350089,-79.88841428,36,24,187,180,0.6382730015082956,0.5930241327300151,0.5477752639517346,21,1784.199951171875,-5,-7,-6,-7,-6.25,NA
19377629,2019-01-02,https://static.inaturalist.org/photos/29801414/medium.jpeg,43.51358339,-79.88772713,39,28,194,185,0.7703921568627451,0.6267320261437909,0.4461437908496732,22,1784.199951171875,-5,-7,-6,-7,-6.25,melanic
19379425,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29804422/medium.jpg,38.6850366667,-90.46885,147,128,153,142,0.40660130718954246,0.41785947712418303,0.4577450980392157,23,819.0999755859375,-2,-3,-3,-3,-2.75,gray
19381010,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29806737/medium.jpeg,43.5463085346,-79.5837163925,182,177,215,211,0.5003921568627451,0.4828758169934641,0.4409150326797386,24,3153.800048828125,-4,-5,-5,-5,-4.75,gray
19381491,2019-01-02,https://static.inaturalist.org/photos/29807633/medium.jpg,32.4758375623,-86.3623044827,89,80,180,171,0.4066666666666667,0.4030196078431372,0.3770588235294118,25,367.5,6,6,4,6,5.5,gray
19381519,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29807658/medium.jpeg,31.33151,-94.707243,154,115,128,102,0.4147276688453159,0.4208061002178649,0.44410675381263615,26,578.0999755859375,6,5,4,5,5,gray
19381818,2019-01-02,https://static.inaturalist.org/photos/29808087/medium.jpg,40.9925327648,-74.3581993753,105,97,187,181,0.5838779956427015,0.5527544351073763,0.5198879551820729,27,1035.5,-4,-3,-5,-3,-3.75,NA
19381947,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29808380/medium.jpg,39.738025,-75.6093,-1,-10,196,186,0.14209903253459608,0.14650637493026358,0.12504932576778108,28,1683.699951171875,-1,-0,-2,-0,-0.75,gray
19383125,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29809944/medium.jpeg,41.845381,-87.87001,198,178,108,92,0.4681276432141484,0.4355247981545559,0.40310869445817543,29,1289.9000244140625,-4,-5,-5,-5,-4.75,gray
19384468,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29812072/medium.jpeg,45.3705063095,-75.7969968232,307,278,184,148,0.2733933933933934,0.24144850733086023,0.19027027027027027,30,1643.0999755859375,-10,-12,-12,-12,-11.5,gray
19384566,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29812249/medium.jpeg,45.3738527346,-75.7968251618,123,88,201,174,0.7574151882975413,0.7244203236850295,0.5567032368502957,31,1643.0999755859375,-10,-12,-12,-12,-11.5,gray
19386169,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29843400/medium.jpg,40.7875924185,-73.9823122044,142,113,211,174,0.4155761953904369,0.3915032679738562,0.3578603371173031,32,44796.3984375,-0,0,-2,0,-0.5,gray
19386209,2019-01-02,https://static.inaturalist.org/photos/29815362/medium.jpeg,28.47537202,-81.46479462,47,37,216,206,0.8478690649813644,0.867671366067088,0.8602171447091234,33,155.60000610351562,12,13,10,13,12,NA
19386211,2019-01-02,https://static.inaturalist.org/photos/29815372/medium.jpeg,28.47572928,-81.46553745,50,36,245,230,0.23187908496732024,0.24547385620915033,0.2313562091503268,34,155.60000610351562,12,13,10,13,12,gray
19386213,2019-01-02,https://static.inaturalist.org/photos/29815380/medium.jpeg,28.47536611,-81.46583998,42,36,209,202,0.3130952380952381,0.47282913165266105,0.26176470588235295,35,155.60000610351562,12,13,10,13,12,gray
19388186,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29818855/medium.jpeg,43.3148366667,-79.84915,148,128,332,301,0.08596521942110177,0.08611694677871148,0.10461601307189544,36,2109.89990234375,-3,-5,-5,-5,-4.5,melanic
19391665,2019-01-02,https://static.inaturalist.org/photos/29824816/medium.jpg,40.6643216667,-73.9762716667,56,53,164,160,0.44058823529411767,0.3711764705882353,0.281764705882353,37,17883.099609375,-1,0,-2,0,-0.75,gray
19397654,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29834267/medium.jpeg,39.1146918,-84.4936469,214,194,155,141,0.7662496109554933,0.7493432928727046,0.7419358854652972,38,1157.5999755859375,-0,-2,-3,-2,-1.75,gray
