,database,inat.id,year,latitude,longitude,morph.class
30666,iNaturalist,37160728,2020,31.33151,-94.707243,gray
30668,iNaturalist,37163481,2020,39.22716833,-77.45500167,gray
30669,iNaturalist,37165197,2020,39.94956167,-75.17192,gray
30670,iNaturalist,37165677,2020,44.3091659546,-78.3338851929,melanic
30672,iNaturalist,37165914,2020,42.07821568,-82.49134601,melanic
30674,iNaturalist,37167233,2020,35.8874558037,-86.840810158,gray
30675,iNaturalist,37169205,2020,42.3032444444,-71.1193611111,gray
30676,iNaturalist,37169414,2020,33.8533954273,-87.2282538032,gray
30677,iNaturalist,37169435,2020,33.8533976548,-87.2282472654,gray
30678,iNaturalist,37170621,2020,28.34918667,-81.42058667,gray
30679,iNaturalist,37171094,2020,42.0781630637,-82.4914668738,melanic
30681,iNaturalist,37172260,2020,43.728471,-91.231025,gray
30682,iNaturalist,37172270,2020,43.728471,-91.231025,melanic
30683,iNaturalist,37173065,2020,33.7866933333,-84.371415,gray
30684,iNaturalist,37174206,2020,39.926394816,-75.3677230328,gray
30687,iNaturalist,37175364,2020,38.9175509,-77.279589,gray
30688,iNaturalist,37175903,2020,34.161904951,-80.8963520534,gray
30691,iNaturalist,37175967,2020,34.1619104995,-80.8963426657,gray
30701,iNaturalist,37177293,2020,39.8340235863,-74.9861684169,gray
30702,iNaturalist,37177312,2020,39.8353774587,-75.0001826808,gray
30704,iNaturalist,37177945,2020,40.02466117,-83.190745,gray
30705,iNaturalist,37177957,2020,39.0142333333,-77.2400222222,gray
30706,iNaturalist,37177960,2020,39.0142333333,-77.2400222222,gray
30707,iNaturalist,37177964,2020,39.015175,-77.2394861111,gray
30710,iNaturalist,37181845,2020,41.9807558991,-87.7415401368,gray
30711,iNaturalist,37183898,2020,49.6894133333,-112.7919,melanic
30712,iNaturalist,37186405,2020,34.7757909373,-85.8570376717,gray
30717,iNaturalist,37192882,2020,35.6858285773,-80.4791217113,gray
30719,iNaturalist,37193009,2020,45.5426571599,-73.4423207351,gray
30722,iNaturalist,37194466,2020,40.6889853006,-73.5110744342,gray
30723,iNaturalist,37194467,2020,40.6888463431,-73.5121517669,gray
30724,iNaturalist,37194473,2020,40.688896,-73.512314,gray
30727,iNaturalist,37195996,2020,27.3283799729,-82.5401906669,gray
30728,iNaturalist,37196744,2020,44.8988915111,-123.0985933579,gray
30731,iNaturalist,37200429,2020,40.7657035526,-73.9732293676,gray
30732,iNaturalist,37200957,2020,37.97883833,-87.60917,gray
30733,iNaturalist,37202005,2020,42.6522980556,-84.5058347222,melanic
30734,iNaturalist,37202862,2020,43.728471,-91.231025,melanic
30735,iNaturalist,37202934,2020,40.689796,-73.51667,gray
30736,iNaturalist,37205714,2020,45.8940717,-74.157934,melanic
30737,iNaturalist,37206667,2020,41.96313,-87.68627167,gray
30738,iNaturalist,37208091,2020,37.2105928516,-80.4073369514,gray
30739,iNaturalist,37208102,2020,41.319319,-81.5875725,gray
30740,iNaturalist,37209745,2020,27.9945104,-81.8653213,gray
30742,iNaturalist,37210394,2020,42.6845160819,-89.0196887135,gray
30744,iNaturalist,37211103,2020,40.8980481968,-73.9127029211,gray
30745,iNaturalist,37216385,2020,34.178684248,-77.8795571253,gray
30746,iNaturalist,37217901,2020,45.3719291,-75.7945159,melanic
30747,iNaturalist,37217902,2020,45.3719291,-75.7945159,gray
30748,iNaturalist,37217906,2020,45.3719291,-75.7945159,melanic
30750,iNaturalist,37222983,2020,38.79355,-89.998255,gray
30752,iNaturalist,37225975,2020,46.8448924693,-96.7329885253,gray
30753,iNaturalist,37227783,2020,30.151065,-95.4964983333,gray
30754,iNaturalist,37229167,2020,35.2755966187,-80.9594192505,gray
30755,iNaturalist,37229984,2020,35.994055,-84.22012167,gray
30758,iNaturalist,37231487,2020,41.1838988366,-96.0524019599,melanic
30759,iNaturalist,37232496,2020,39.3664364668,-84.5686003845,gray
30760,iNaturalist,37232735,2020,36.0973567104,-94.1377822002,gray
30761,iNaturalist,37233419,2020,44.279515,-76.234665,melanic
30764,iNaturalist,37237925,2020,43.6610189937,-79.3745135291,melanic
30765,iNaturalist,37240014,2020,45.3692296791,-75.7922764706,melanic
30766,iNaturalist,37240185,2020,43.0797778583,-87.8825594299,gray
30767,iNaturalist,37240189,2020,45.3716401452,-75.7974381684,melanic
30768,iNaturalist,37240202,2020,45.3693413396,-75.7919381506,gray
30770,iNaturalist,37242581,2020,42.6390711776,-88.6481044501,gray
30773,iNaturalist,37244090,2020,40.8931139385,-74.0079718329,gray
30774,iNaturalist,37244159,2020,28.0725479126,-82.5227127075,gray
30775,iNaturalist,37244275,2020,27.3781987184,-82.5630985905,gray
30776,iNaturalist,37246800,2020,32.5331166667,-94.6044383333,gray
30777,iNaturalist,37248431,2020,38.9175509,-77.279589,gray
30778,iNaturalist,37248480,2020,38.9175509,-77.279589,gray
30779,iNaturalist,37251279,2020,39.241795,-76.8586183333,gray
30780,iNaturalist,37251728,2020,37.6861992016,-77.4281696321,gray
30781,iNaturalist,37254381,2020,29.5622511586,-95.1227938289,gray
30782,iNaturalist,37262414,2020,28.3567142487,-81.5614547729,gray
30783,iNaturalist,37263695,2020,39,-77.37,gray
30784,iNaturalist,37265512,2020,38.83228667,-77.05285,gray
30785,iNaturalist,37265608,2020,39.9805107117,-83.0674514771,gray
30786,iNaturalist,37266056,2020,35.93025002,-78.82963998,gray
30787,iNaturalist,37266336,2020,40.8991079474,-73.9128926596,gray
30789,iNaturalist,37267513,2020,41.5666866667,-72.0558555,gray
30790,iNaturalist,37267856,2020,42.36125333,-71.08921117,melanic
30792,iNaturalist,37271319,2020,43.3002233366,-79.8450231459,melanic
30794,iNaturalist,37272328,2020,38.9024725312,-77.034327386,melanic
30795,iNaturalist,37272521,2020,39.040605,-77.033365,gray
30798,iNaturalist,37274295,2020,25.6820268839,-80.3987542167,gray
30802,iNaturalist,37277047,2020,35.9131996,-79.0558445,gray
30803,iNaturalist,37277697,2020,42.932266259,-88.0342372149,gray
30804,iNaturalist,37277708,2020,37.2105928516,-80.4073369514,gray
30805,iNaturalist,37278423,2020,39.8301622539,-74.9909223334,gray
30807,iNaturalist,37281085,2020,40.8072078328,-73.9578918091,gray
30809,iNaturalist,37281714,2020,41.4588740106,-90.1547959819,gray
30810,iNaturalist,37281932,2020,33.8531527114,-87.2282298647,gray
30811,iNaturalist,37281933,2020,33.8533077643,-87.2283629365,gray
30812,iNaturalist,37282010,2020,48.4647944784,-123.2986676253,gray
30813,iNaturalist,37283430,2020,29.7382501924,-95.7749900127,gray
30815,iNaturalist,37284087,2020,40.89308,-74.00806388,gray
30816,iNaturalist,37284447,2020,42.09341383,-72.58602167,gray
30818,iNaturalist,37285904,2020,38.631717572,-77.2115039956,gray
30821,iNaturalist,37291501,2020,42.9881026667,-82.35295025,gray
30822,iNaturalist,37292092,2020,43.5585906293,-80.2361461515,gray
30824,iNaturalist,37301787,2020,41.4775150155,-90.434417365,melanic
30826,iNaturalist,37306135,2020,40.887008328,-73.781618178,melanic
30827,iNaturalist,37307555,2020,43.3883835314,-80.4412966687,melanic
30828,iNaturalist,37309187,2020,40.7257573702,-74.2710908687,gray
30829,iNaturalist,37309322,2020,38.9354500877,-77.3570742045,gray
30830,iNaturalist,37311038,2020,40.6513214139,-73.9711376382,melanic
30831,iNaturalist,37311724,2020,40.1423354002,-75.0819486948,gray
30833,iNaturalist,37314617,2020,39.8841293611,-89.6099773049,gray
30834,iNaturalist,37316337,2020,43.2944779238,-79.8784406348,melanic
30835,iNaturalist,37316702,2020,28.33609167,-81.58763833,gray
30838,iNaturalist,37317742,2020,40.89310833,-74.00801112,gray
30839,iNaturalist,37318297,2020,42.1781944111,-87.9164152778,melanic
30846,iNaturalist,37321184,2020,34.161904951,-80.8963520534,gray
30848,iNaturalist,37325164,2020,48.4626215377,-123.3110962927,gray
30850,iNaturalist,37328997,2020,36.9749456615,-122.0225560091,melanic
30851,iNaturalist,37335396,2020,35.6941673099,-78.7658315778,gray
30852,iNaturalist,37335559,2020,35.7202892533,-78.6873453079,gray
30853,iNaturalist,37336324,2020,45.5679864677,-122.6741880097,gray
30854,iNaturalist,37338221,2020,42.1106333402,-71.1866290946,gray
30855,iNaturalist,37338552,2020,27.7132798685,-82.6903334354,gray
30857,iNaturalist,37340583,2020,38.9230789426,-77.4070091096,gray
30858,iNaturalist,37341292,2020,43.3023778414,-79.8436623469,melanic
30859,iNaturalist,37341443,2020,42.8755685242,-72.8156963228,gray
30862,iNaturalist,37344120,2020,40.6028124397,-74.5328234743,gray
30864,iNaturalist,37346831,2020,33.6889908,-86.6833228,gray
30865,iNaturalist,37350925,2020,40.785581097,-73.9351008833,gray
30866,iNaturalist,37351917,2020,40.6212514582,-80.0306589156,gray
30867,iNaturalist,37352818,2020,34.5476587081,-86.9513272678,gray
30868,iNaturalist,37353138,2020,39.1264212332,-77.524347249,gray
30869,iNaturalist,37358092,2020,47.5073974642,-122.2037198151,gray
30870,iNaturalist,37358124,2020,47.5073974642,-122.2037198151,gray
30871,iNaturalist,37358400,2020,39.0885195,-77.49381333,gray
30872,iNaturalist,37358660,2020,42.9251333333,-88.0358983333,gray
30874,iNaturalist,37360199,2020,34.5494910776,-86.9526006706,gray
30875,iNaturalist,37360238,2020,34.545131337,-86.9508055477,gray
30877,iNaturalist,37370612,2020,46.3380691689,-94.2327885983,melanic
30878,iNaturalist,37370641,2020,43.0846402003,-87.8923872114,gray
30879,iNaturalist,37370767,2020,28.3742256165,-81.5509414673,gray
30880,iNaturalist,37372528,2020,42.85755463,-70.93263354,gray
30881,iNaturalist,37375571,2020,42.9740314325,-81.2501680758,gray
30883,iNaturalist,37376997,2020,42.3127666667,-71.1384722222,gray
30884,iNaturalist,37378633,2020,29.64542808,-82.34715208,gray
30885,iNaturalist,37379428,2020,40.8992250409,-73.9131013975,melanic
30886,iNaturalist,37380604,2020,32.3236843516,-91.3480763649,melanic
30887,iNaturalist,37381374,2020,38.96706167,-77.19612167,gray
30888,iNaturalist,37381615,2020,42.6932339687,-88.987048558,gray
30889,iNaturalist,37382078,2020,45.4469605091,-75.652214369,melanic
30890,iNaturalist,37382413,2020,37.55867,-122.288451,gray
30891,iNaturalist,37383345,2020,40.0210305,-83.19543667,gray
30892,iNaturalist,37383361,2020,40.0211445,-83.1953,gray
30893,iNaturalist,37383374,2020,40.0211305,-83.19528667,gray
30894,iNaturalist,37384614,2020,45.9010874693,-74.2619526383,melanic
30896,iNaturalist,37386493,2020,31.9321305556,-81.0590361111,gray
30897,iNaturalist,37400572,2020,26.5517429268,-81.8871849351,gray
30898,iNaturalist,37400798,2020,26.5517816087,-81.8872673158,gray
30899,iNaturalist,37401100,2020,33.7378866667,-95.9728566667,gray
30900,iNaturalist,37403007,2020,37.39327,-79.408425,gray
30901,iNaturalist,37405592,2020,42.3885078455,-71.1366503061,gray
30902,iNaturalist,37409138,2020,42.414185,-71.5619434,gray
30904,iNaturalist,37409933,2020,39.0228366667,-77.0388566667,gray
30905,iNaturalist,37409934,2020,39.0228333333,-77.0387116667,melanic
30906,iNaturalist,37409935,2020,39.0228333333,-77.0387116667,gray
30907,iNaturalist,37412236,2020,36.5476408,-82.5249007,gray
30908,iNaturalist,37412906,2020,40.7761575748,-73.9439647459,gray
30909,iNaturalist,37414600,2020,42.986032432,-71.5422344115,gray
30910,iNaturalist,37415870,2020,35.810313,-78.715251,gray
30911,iNaturalist,37423438,2020,40.5502420501,-74.680229274,gray
30912,iNaturalist,37424075,2020,40.551988299,-74.6824550679,gray
30914,iNaturalist,37428954,2020,28.3314116667,-81.519975,gray
30915,iNaturalist,37429315,2020,37.45166683,-77.66779306,gray
30916,iNaturalist,37430334,2020,38.83193833,-77.05268883,gray
30918,iNaturalist,37433549,2020,38.57532833,-121.49066167,gray
30919,iNaturalist,37435012,2020,40.573635504,-74.5898725024,gray
30920,iNaturalist,37435201,2020,37.4514181,-77.5808749,gray
30922,iNaturalist,37435311,2020,40.5686597703,-74.5924941343,gray
30923,iNaturalist,37437541,2020,39.8843953796,-89.6099179611,gray
30924,iNaturalist,37438202,2020,40.1417061404,-74.986012828,gray
30926,iNaturalist,37440729,2020,40.6516580591,-73.9875769067,gray
30927,iNaturalist,37440730,2020,40.6512209256,-73.9863296796,gray
30928,iNaturalist,37441440,2020,40.89308667,-74.00798055,gray
30929,iNaturalist,37443168,2020,34.161904951,-80.8963520534,gray
30930,iNaturalist,37443243,2020,34.1619182674,-80.8963413246,gray
30931,iNaturalist,37443308,2020,34.161904951,-80.8963520534,gray
30932,iNaturalist,37443495,2020,38.9331404404,-77.3434459004,gray
30933,iNaturalist,37443717,2020,34.1619182674,-80.8963413246,gray
30934,iNaturalist,37443820,2020,38.9320362896,-77.3512460604,gray
30935,iNaturalist,37443908,2020,34.1619182674,-80.896346689,gray
30937,iNaturalist,37456429,2020,31.33151,-94.707243,gray
30938,iNaturalist,37456762,2020,39.0135741737,-77.0953152467,gray
30939,iNaturalist,37456968,2020,43.0908001867,-87.8980063555,gray
30940,iNaturalist,37456976,2020,43.0989139947,-87.9042404798,gray
30941,iNaturalist,37456979,2020,43.1031800481,-87.9077716918,gray
30942,iNaturalist,37459186,2020,40.6245992313,-74.5436146376,gray
30943,iNaturalist,37459536,2020,42.3871933333,-71.1082066667,gray
30944,iNaturalist,37461184,2020,42.85947495,-70.9331846,gray
30945,iNaturalist,37462402,2020,37.76841667,-122.45873333,gray
30946,iNaturalist,37463241,2020,38.9175509,-77.279589,gray
30947,iNaturalist,37463271,2020,38.9175509,-77.279589,gray
30948,iNaturalist,37463282,2020,38.9175509,-77.279589,gray
30949,iNaturalist,37463294,2020,38.9175509,-77.279589,gray
30950,iNaturalist,37463307,2020,38.9175509,-77.279589,gray
30951,iNaturalist,37464653,2020,33.3458338524,-93.1872827496,gray
30952,iNaturalist,37465267,2020,42.3667564392,-71.2556381226,gray
30953,iNaturalist,37465289,2020,46.9500651166,-92.1669738878,gray
30954,iNaturalist,37465645,2020,40.8983158348,-73.9130197535,gray
30955,iNaturalist,37466075,2020,40.893125,-74.00803333,gray
30956,iNaturalist,37466118,2020,42.3000027778,-71.1254416667,gray
30957,iNaturalist,37466124,2020,42.2997972222,-71.1284333333,gray
30958,iNaturalist,37466126,2020,42.2980333333,-71.1289,gray
30959,iNaturalist,37466189,2020,36.8271972838,-81.5363192404,gray
30960,iNaturalist,37466190,2020,36.8273294951,-81.5360460546,gray
30961,iNaturalist,37469070,2020,39.393113434,-79.37566706,gray
30962,iNaturalist,37469731,2020,39.24148,-76.8598816667,gray
30964,iNaturalist,37469793,2020,38.9134536,-77.3170066,gray
30965,iNaturalist,37470514,2020,48.464795,-123.3093633333,gray
30967,iNaturalist,37471215,2020,34.161916048,-80.89637217,gray
30968,iNaturalist,37471284,2020,48.41892167,-123.47477,gray
30969,iNaturalist,37471481,2020,34.1612363103,-80.8949251456,gray
30970,iNaturalist,37471727,2020,40.72796,-74.27095,gray
30971,iNaturalist,37471746,2020,40.728605,-74.273155,gray
30972,iNaturalist,37471844,2020,34.1619171577,-80.8963788755,gray
30973,iNaturalist,37473144,2020,37.5978637367,-77.4738750234,gray
30975,iNaturalist,37483594,2020,30.61927,-87.884445,gray
30976,iNaturalist,37484837,2020,40.6026848167,-74.5327619479,gray
30977,iNaturalist,37484859,2020,40.6026848167,-74.5327619479,gray
30978,iNaturalist,37484860,2020,40.6026848167,-74.5327619479,gray
30979,iNaturalist,37486905,2020,33.8684171618,-83.6927913248,gray
30980,iNaturalist,37489258,2020,39.1326904297,-76.9092254639,gray
30982,iNaturalist,37490050,2020,33.89542485,-84.44819198,gray
30983,iNaturalist,37490784,2020,45.3647516,-71.84692228,gray
30984,iNaturalist,37490843,2020,38.0148180094,-122.516357511,gray
30985,iNaturalist,37491290,2020,38.9462283,-92.446573,gray
30986,iNaturalist,37491906,2020,35.2750587463,-80.9600753784,gray
30987,iNaturalist,37492026,2020,35.2754211426,-80.9597244263,gray
30988,iNaturalist,37492054,2020,42.4288583333,-71.2232616667,gray
30989,iNaturalist,37492952,2020,42.6708335876,-83.0191650391,gray
30990,iNaturalist,37493811,2020,45.0807312015,-64.4890962842,melanic
30991,iNaturalist,37493813,2020,45.0807312015,-64.4890962842,melanic
30992,iNaturalist,37494461,2020,38.9462283,-92.446573,gray
30993,iNaturalist,37494787,2020,42.351748,-72.6725849722,gray
30994,iNaturalist,37495176,2020,39.83982167,-74.96283,gray
30995,iNaturalist,37495550,2020,42.3865854995,-71.1084332816,gray
30996,iNaturalist,37496018,2020,40.7142455351,-74.3602440879,gray
30997,iNaturalist,37496833,2020,40.7147649747,-74.3602571636,gray
30998,iNaturalist,37498571,2020,40.072085,-75.2238266667,gray
30999,iNaturalist,37499876,2020,40.893075,-74.00791945,gray
31000,iNaturalist,37501181,2020,30.4624627048,-91.1856224914,gray
31001,iNaturalist,37505779,2020,34.1619082801,-80.8964030154,gray
31003,iNaturalist,37507972,2020,38.57510333,-121.49083,gray
31004,iNaturalist,37509610,2020,40.2095298767,-75.2794570923,gray
31006,iNaturalist,37512218,2020,30.847318196,-94.1712700556,gray
31007,iNaturalist,37512219,2020,30.8452076587,-94.1679004228,gray
31008,iNaturalist,37513469,2020,41.782749176,-72.5304107666,gray
31009,iNaturalist,37522563,2020,38.831905,-77.05285,gray
31010,iNaturalist,37523882,2020,42.4526857317,-71.0816009755,gray
31011,iNaturalist,37524663,2020,40.8534672664,-73.8785961837,melanic
31012,iNaturalist,37525738,2020,35.9131996,-79.0558445,gray
31013,iNaturalist,37525740,2020,35.9131996,-79.0558445,gray
31014,iNaturalist,37526475,2020,29.63282833,-82.370155,gray
31015,iNaturalist,37526927,2020,45.5697432431,-73.5626853956,gray
31016,iNaturalist,37527201,2020,35.04288617,-85.29186167,gray
31018,iNaturalist,37527987,2020,42.2842361111,-71.1463305556,gray
31019,iNaturalist,37529932,2020,26.1187298,-80.2424211,gray
31021,iNaturalist,37530210,2020,39.173499,-94.575806,gray
31022,iNaturalist,37531988,2020,42.4479696109,-71.083549783,gray
31023,iNaturalist,37532201,2020,45.1013790666,-93.0388737406,other
31024,iNaturalist,37532545,2020,33.539963,-101.89526,gray
31025,iNaturalist,37533044,2020,35.27526474,-80.9597930908,gray
31026,iNaturalist,37533914,2020,33.7837166667,-84.3762666667,gray
31027,iNaturalist,37534105,2020,26.3739210422,-81.609040685,gray
31028,iNaturalist,37534388,2020,39.6260682537,-78.7581643023,gray
31029,iNaturalist,37534429,2020,40.1393585,-75.077521,gray
31030,iNaturalist,37535646,2020,45.4459970422,-75.6493712275,melanic
31031,iNaturalist,37536584,2020,34.84827833,-82.40241667,gray
31034,iNaturalist,37538383,2020,40.7839133333,-73.93096,melanic
31035,iNaturalist,37538691,2020,40.79093026,-73.9288452175,gray
31036,iNaturalist,37539369,2020,43.1759569683,-87.8850690017,gray
31037,iNaturalist,37540329,2020,44.324461183,-74.1271464177,gray
31038,iNaturalist,37540513,2020,43.43763333,-80.53707833,melanic
31039,iNaturalist,37540765,2020,45.5212251593,-123.1276365323,gray
31042,iNaturalist,37543048,2020,34.6476608718,-86.4700950837,gray
31043,iNaturalist,37544695,2020,42.2776348846,-85.1323272093,melanic
31044,iNaturalist,37545327,2020,35.9069166667,-78.5132133333,gray
